search_date	database	query	title	year	journal	study_type	sample_or_dataset	major_finding	relevant_manuscript_section	doi	pmid	include_or_exclude	exclusion_reason
2026-07-17	PubMed/DOI	recent PDR macrophage/inflammation comparator	Upregulation of HMOX1 associated with M2 macrophage infiltration and ferroptosis in proliferative diabetic retinopathy	2024	Int Immunopharmacol	original/resource/method/reference audit	recent PDR macrophage/inflammation comparator	recent PDR macrophage/inflammation comparator	Discussion	10.1016/j.intimp.2024.112231	38739977	include	
2026-07-17	PubMed/DOI	complement pathway context	A Systematic Investigation on Complement Pathway Activation in Diabetic Retinopathy	2020	Front Immunol	original/resource/method/reference audit	complement pathway context	complement pathway context	Discussion	10.3389/fimmu.2020.00154		include	
2026-07-17	PubMed/DOI	PDR vitreous complement evidence	Complement Activation in the Vitreous of Patients With Proliferative Diabetic Retinopathy	2020	Invest Ophthalmol Vis Sci	original/resource/method/reference audit	PDR vitreous complement evidence	PDR vitreous complement evidence	Discussion	10.1167/iovs.61.11.39	32965482	include	
2026-07-17	PubMed/DOI	PDR aqueous proteomics comparator	Comprehensive Proteomic Profiling of Aqueous Humor Proteins in Proliferative Diabetic Retinopathy	2021	Transl Vis Sci Technol	original/resource/method/reference audit	PDR aqueous proteomics comparator	PDR aqueous proteomics comparator	Discussion	10.1167/tvst.10.6.3	34111250	include	
2026-07-17	PubMed/DOI	vitreous proteomics and complement/coagulation context	Proteomics profiling of vitreous humor reveals complement and coagulation components, adhesion factors, and neurodegeneration markers as discriminatory biomarkers of vitreoretinal eye diseases	2023	Front Immunol	original/resource/method/reference audit	vitreous proteomics and complement/coagulation context	vitreous proteomics and complement/coagulation context	Discussion	10.3389/fimmu.2023.1107295	36875133	include	
2026-07-17	PubMed/DOI	vitreous proteome context and compartment boundary	System-wide vitreous proteome dissection reveals impaired sheddase activity in diabetic retinopathy	2022	Theranostics	original/resource/method/reference audit	vitreous proteome context and compartment boundary	vitreous proteome context and compartment boundary	Discussion	10.7150/thno.72947	36185601	include	
2026-07-17	PubMed/DOI	recent PDR aqueous proteomics plus machine-learning comparator	Aqueous humor proteomics analyzed by bioinformatics and machine learning in PDR cases versus controls	2024	Clin Proteomics	original/resource/method/reference audit	recent PDR aqueous proteomics plus machine-learning comparator	recent PDR aqueous proteomics plus machine-learning comparator	Discussion	10.1186/s12014-024-09481-w	38764026	include	
2026-07-17	PubMed/DOI	GWAS interpretation boundary	Benefits and limitations of genome-wide association studies	2019	Nat Rev Genet	original/resource/method/reference audit	GWAS interpretation boundary	GWAS interpretation boundary	Discussion	10.1038/s41576-019-0127-1		include	
2026-07-17	PubMed/DOI	TWAS method boundary	Integrative approaches for large-scale transcriptome-wide association studies	2016	Nat Genet	original/resource/method/reference audit	TWAS method boundary	TWAS method boundary	Discussion	10.1038/ng.3506		include	
2026-07-17	PubMed/DOI	retinal eQTL resource boundary	Retinal transcriptome and eQTL analyses identify genes associated with age-related macular degeneration	2019	Nat Genet	original/resource/method/reference audit	retinal eQTL resource boundary	retinal eQTL resource boundary	Discussion	10.1038/s41588-019-0351-9	30742112	include	
2026-07-17	PubMed/DOI	FinnGen source interpretation	FinnGen provides genetic insights from a well-phenotyped isolated population	2023	Nature	original/resource/method/reference audit	FinnGen source interpretation	FinnGen source interpretation	Discussion	10.1038/s41586-022-05473-8		include	
2026-07-17	PubMed/DOI	TWAS limitation and interpretation	Opportunities and challenges for transcriptome-wide association studies	2019	Nat Genet	original/resource/method/reference audit	TWAS limitation and interpretation	TWAS limitation and interpretation	Discussion	10.1038/s41588-019-0385-z		include	
2026-07-17	PubMed/DOI	recent DR public-data multi-omics comparator	Integration of multi-omics transcriptome-wide analysis for the identification of novel therapeutic drug targets in diabetic retinopathy	2024	J Transl Med	original/resource/method/reference audit	recent DR public-data multi-omics comparator	recent DR public-data multi-omics comparator	Background/Discussion	10.1186/s12967-024-05856-7	39719581	include	
2026-07-17	PubMed/DOI	OCTA data boundary and imaging-omics gap	DRAC 2022: A public benchmark for diabetic retinopathy analysis on ultra-wide optical coherence tomography angiography images	2022	Patterns	original/resource/method/reference audit	OCTA data boundary and imaging-omics gap	OCTA data boundary and imaging-omics gap	Background/Discussion	10.1016/j.patter.2024.100929		include	
2026-07-17	PubMed/DOI	OCTA measurement context	Quantification of retinal microvascular density in optical coherence tomographic angiography images in diabetic retinopathy	2017	JAMA Ophthalmol	original/resource/method/reference audit	OCTA measurement context	OCTA measurement context	Discussion	10.1001/jamaophthalmol.2017.0080		include	
2026-07-17	PubMed/DOI	fenofibrate positive-control clinical context	Effects of medical therapies on retinopathy progression in type 2 diabetes	2010	N Engl J Med	original/resource/method/reference audit	fenofibrate positive-control clinical context	fenofibrate positive-control clinical context	Discussion	10.1056/NEJMoa1001288	20587587	include	
2026-07-17	PubMed/DOI	fenofibrate positive-control clinical context	Effect of fenofibrate on the need for laser treatment for diabetic retinopathy (FIELD study): a randomised controlled trial	2007	Lancet	original/resource/method/reference audit	fenofibrate positive-control clinical context	fenofibrate positive-control clinical context	Discussion	10.1016/S0140-6736(07)61607-9	17988728	include	
2026-07-17	PubMed/DOI	retinal endothelial drug-mechanism probe context	Anti-angiogenic and antioxidant effects of axitinib in human retinal endothelial cells: implications in diabetic retinopathy	2024	Front Pharmacol	original/resource/method/reference audit	retinal endothelial drug-mechanism probe context	retinal endothelial drug-mechanism probe context	Discussion	10.3389/fphar.2024.1415846	38953109	include	
2026-07-17	PubMed/DOI	antiangiogenic probe boundary	Axitinib inhibits retinal and choroidal neovascularization in in vitro and in vivo models	2016	Exp Eye Res	original/resource/method/reference audit	antiangiogenic probe boundary	antiangiogenic probe boundary	Discussion	10.1016/j.exer.2016.02.010	26927930	include	
2026-07-17	PubMed/DOI	cautionary drug-context evidence	Association between pentoxifylline use and diabetic retinopathy in patients with type 2 diabetes mellitus and chronic kidney disease: a multi-institutional cohort study	2025	Biomed J	original/resource/method/reference audit	cautionary drug-context evidence	cautionary drug-context evidence	Discussion	10.1016/j.bj.2024.100771	39033962	include	
2026-07-17	PubMed/DOI	drug-context uncertainty	Pentoxifylline for diabetic retinopathy	2008	Cochrane Database Syst Rev	original/resource/method/reference audit	drug-context uncertainty	drug-context uncertainty	Discussion	10.1002/14651858.CD006693.pub2	18425965	include	
2026-07-17	PubMed/DOI	recent public-data/scRNA prediction comparator	Predictive model for proliferative diabetic retinopathy using single-cell transcriptomics	2025	Exp Eye Res	original/resource/method/reference audit	recent public-data/scRNA prediction comparator	recent public-data/scRNA prediction comparator	Discussion	10.1016/j.exer.2025.110536	40701535	include	
2026-07-17	PubMed/DOI	archived upstream scRNA only; not cited in main Round6	SCANPY: large-scale single-cell gene expression data analysis	2018	Genome Biol	original/resource/method/reference audit	archived upstream scRNA only; not cited in main Round6	archived upstream scRNA only; not cited in main Round6	Supplementary Methods	10.1186/s13059-017-1382-0		exclude	upstream-only method reference moved to Supplementary Methods
2026-07-17	PubMed/DOI	archived upstream scRNA integration only; not cited in main Round6	Fast, sensitive and accurate integration of single-cell data with Harmony	2019	Nat Methods	original/resource/method/reference audit	archived upstream scRNA integration only; not cited in main Round6	archived upstream scRNA integration only; not cited in main Round6	Supplementary Methods	10.1038/s41592-019-0619-0		exclude	upstream-only method reference moved to Supplementary Methods
2026-07-17	PubMed/DOI	archived upstream bulk only; not cited in main Round6	edgeR: a Bioconductor package for differential expression analysis of digital gene expression data	2010	Bioinformatics	original/resource/method/reference audit	archived upstream bulk only; not cited in main Round6	archived upstream bulk only; not cited in main Round6	Supplementary Methods	10.1093/bioinformatics/btp616		exclude	upstream-only method reference moved to Supplementary Methods
2026-07-17	PubMed/DOI	archived upstream bulk only; not cited in main Round6	limma powers differential expression analyses for RNA-sequencing and microarray studies	2015	Nucleic Acids Res	original/resource/method/reference audit	archived upstream bulk only; not cited in main Round6	archived upstream bulk only; not cited in main Round6	Supplementary Methods	10.1093/nar/gkv007		exclude	upstream-only method reference moved to Supplementary Methods
2026-07-17	PubMed/DOI	FDR terminology retained	Controlling the false discovery rate: a practical and powerful approach to multiple testing	1995	J R Stat Soc Series B	original/resource/method/reference audit	FDR terminology retained	FDR terminology retained	Methods	10.1111/j.2517-6161.1995.tb02031.x		include	
